id,name,price,location_lat,location_long,score_upvotes,score_views,creator_id,creator_is_premium,tags,start,end
21,ut odio cras mi pede malesuada,5.34,32.743289,-104.90658,2443,12215,95f7daba-1a78-47f5-b802-c3f3ab52da9f,TRUE,Adaptive,2021-10-02T02:13:48,2021-11-29T05:21:49
22,duis faucibus accumsan odio curabitur convallis duis consequat,86.24,29.276697,-99.730143,316,1580,36afd27b-f1fc-4822-9ca3-4c18aec7653e,FALSE,,2021-05-21T04:51:07,2021-10-24T08:44:41
23,in consequat ut nulla sed accumsan,33.95,31.155788,-99.881473,1726,17260,29fee56d-c10d-4917-97d8-c0576a388371,TRUE,Virtual|structure,2021-08-02T17:18:42,2021-12-15T22:55:00
24,eget tempus,,34.475398,-104.433757,91,819,e223d37b-16f3-4932-a4ea-00c29d49c877,FALSE,synergy|moderator,2021-03-12T23:26:23,2021-06-01T02:56:57
25,nam nulla integer pede,,30.507587,-96.831459,2161,23771,21c01404-4915-4b4b-8789-b1e328aa1ae5,FALSE,content-based|Managed|interface|Assimilated|maximized,2021-04-12T14:49:44,2021-05-10T17:38:16
26,ipsum primis in,7.21,29.903078,-102.198229,1264,11376,7e8f417e-8e86-4650-8cf6-0b514e3aadc1,TRUE,local|uniform|Persistent|User-centric,2021-04-20T21:13:17Z,
27,vitae nisl aenean,74.72,30.071989,-95.244639,426,4686,bff437d1-b792-4dbc-88b2-56c0125a08b9,TRUE,Switchable|capacity|budgetary management|User-friendly,2021-03-02T11:02:13,2021-12-04T19:04:10
28,posuere cubilia curae donec,39.59,32.613432,-101.415212,291,3492,3948d086-a496-49bc-801f-6d081f3b3833,FALSE,intangible|workforce|capability|zero administration,2021-04-24T02:43:05,2021-07-11T02:47:15
29,tellus nulla ut erat id mauris vulputate elementum,,29.5635,-96.183769,1946,9730,e3ab2ff0-4061-41d1-b904-6d564bce714a,TRUE,Multi-tiered,2021-02-12T04:41:51,2021-02-14T06:20:30
30,ac nulla sed vel enim sit amet,44.09,30.932596,-95.284779,1433,12897,ec7992ef-b427-42ff-aec6-3b4288b5fb8c,FALSE,Configurable,2021-04-05T06:21:29,2021-09-06T12:28:13
31,eget massa tempor convallis nulla neque libero,31.85,32.333531,-98.306795,1658,11606,7a3977e1-d28f-4623-b102-5765d3205248,TRUE,Vision-oriented|Balanced|challenge|transitional,2021-04-23T06:13:35,2021-07-12T17:32:54
32,et tempus semper est quam pharetra magna,,31.428694,-101.477204,519,3114,ba90fd41-b3ca-4cf9-ae74-709fe46f29d2,TRUE,framework|utilisation,2021-07-13T22:40:13,2021-07-14T13:20:20
33,ligula in lacus curabitur,51.92,33.853603,-96.029215,2582,20656,dedb72d5-3398-484e-9a27-fd20c18a7853,TRUE,groupware|Business-focused|asynchronous,2021-02-23T08:43:09,2021-09-02T18:08:09
34,id pretium iaculis diam erat fermentum justo nec,69.12,31.717148,-95.563815,1897,11382,4c10bfce-80e4-4d6f-bc0c-12897bd6dc3a,FALSE,middleware|Public-key,2021-01-05T06:24:44,2021-04-09T01:09:24
35,sapien ut nunc vestibulum ante ipsum,85.3,30.018219,-104.526926,482,4338,39cd8414-cb9b-4c36-b777-b37e4addc37c,TRUE,Monitored|knowledge user|orchestration|stable|complexity,2021-06-15T19:43:24Z,
36,sed interdum venenatis,,32.470085,-101.017372,2294,13764,d4c0203f-8512-4624-a732-032a3faa7a5c,FALSE,exuding|collaboration|customer loyalty|core,2021-06-12T02:03:55,2021-11-18T02:10:03
37,interdum eu tincidunt in leo maecenas pulvinar,,29.587509,-95.986126,2316,13896,8f333901-45c8-445e-827c-964df32ec523,FALSE,Upgradable|database|bifurcated|emulation,2021-09-06T15:12:47,2021-09-07T17:22:20
38,interdum mauris non ligula pellentesque ultrices phasellus,11.47,31.309137,-96.957829,497,1988,bf980f05-5001-485d-9bf1-055a93efc63a,TRUE,holistic,2021-05-10T18:00:05,2021-07-23T18:43:22
39,at dolor quis odio consequat,88.78,34.406116,-99.567937,1410,5640,996dc006-1855-4a0c-b6c2-02eff446ac29,FALSE,secured line|Re-contextualized|Reduced|synergy,2021-01-31T06:33:55Z,
40,vel enim sit amet nunc,91.9,30.536469,-98.181145,1382,16584,a641d28c-4184-4dc6-8c90-fab23beb41f0,FALSE,fault-tolerant|neural-net|architecture,2021-03-28T09:42:31,2021-08-26T17:05:43
41,hac habitasse platea dictumst aliquam,1.65,31.80494,-96.081852,1982,11892,4f84b2ae-fba3-4e3e-b336-7efde37e787e,TRUE,Inverse|Persevering|Multi-channelled|neural-net|Future-proofed,2021-07-29T22:08:06,2021-11-15T23:48:57
42,sit amet consectetuer adipiscing elit proin interdum mauris,79.27,34.771611,-102.111884,2508,12540,e704a197-701d-400e-865c-a8bc24fec806,TRUE,heuristic,2021-07-05T01:38:03,2021-09-21T06:44:56
43,quam sapien,,29.010523,-97.800519,1606,6424,4614ddd5-2592-4fa3-9628-5db3097e6070,FALSE,leverage,2021-01-08T00:14:14,2021-03-07T08:34:12
44,nullam porttitor lacus,,34.118362,-100.679984,1435,14350,e258ae66-88b7-4529-bcd6-77e72f09a691,FALSE,Graphic Interface|Streamlined,2021-03-24T20:31:19,2021-07-26T21:27:47
45,vulputate nonummy maecenas tincidunt,92.09,33.497483,-101.741231,2349,21141,6fb34428-ecab-49dd-b703-f9ee0ac17cda,TRUE,,2021-01-13T13:02:52,2021-12-25T22:18:55
46,posuere nonummy integer non velit donec diam,,33.708582,-103.189843,976,7808,825607a0-5c37-490e-b082-affab2d1555f,TRUE,regional|5th generation|bi-directional|instruction set,2021-12-29T00:56:22Z,
47,lacus morbi sem mauris laoreet ut rhoncus,32.45,31.028689,-95.276347,564,6204,869dbe3f-9988-4855-b693-6f088b1c740e,FALSE,intranet|challenge|executive|Grass-roots,2021-01-08T21:19:36,2021-10-12T23:01:19
48,consequat nulla nisl nunc nisl duis,19.32,30.118407,-97.215639,1377,13770,947d4db2-2c93-49ed-bf86-1280d22a2093,FALSE,adapter|Enterprise-wide|throughput|framework|full-range,2021-01-22T01:36:04,2021-08-20T22:31:15
49,orci luctus,95.72,32.935097,-101.182077,173,1038,6f47c49a-aca1-411f-9de8-d4f10999dba6,FALSE,,2021-05-21T21:12:21,2021-05-29T20:51:03
50,amet consectetuer adipiscing,4.39,34.438499,-97.168465,1472,10304,482620b2-7467-4559-b267-31cf8fd52b97,FALSE,high-level|asynchronous|info-mediaries,2021-12-28T01:52:23Z,
51,ligula vehicula consequat morbi,6.23,30.530699,-98.722055,731,2193,1edd8dbd-b050-4847-8bde-f82e8ecc4af1,TRUE,uniform|leading edge|moderator,2021-03-21T03:55:04,2021-04-01T21:16:44
52,nibh in quis justo maecenas rhoncus,,31.257858,-95.947314,2650,26500,ed0cd49c-e425-4583-bed2-b663b8ccc6a8,FALSE,Organized,2021-06-01T17:06:30,2021-07-19T03:01:01
53,vestibulum rutrum rutrum neque aenean auctor,,29.779213,-96.617516,857,3428,844817c4-2fd6-4042-bc89-85763317a765,TRUE,attitude,2021-02-19T18:07:48,2021-12-03T14:44:18
54,luctus nec,69.67,29.333527,-104.256677,651,5208,3b908b51-4bce-4cc7-b4fa-eea078008b43,FALSE,info-mediaries|matrices|functionalities,2021-03-06T07:52:02,2021-06-15T16:48:10
55,congue etiam justo etiam,18.04,29.348627,-101.926185,1433,4299,b3dd7b9c-3bcf-41c6-b9e7-3dd5dc09dbe0,TRUE,logistical|framework|Open-source|function,2021-01-29T20:26:44,2021-11-29T01:57:42
56,malesuada in imperdiet et,,30.508954,-98.912088,516,1548,c55c9c12-bb69-4042-8e28-726e716e087a,FALSE,User-centric|empowering,2021-01-22T14:00:40,2021-07-16T03:37:32
57,magna vestibulum aliquet ultrices erat tortor sollicitudin,42.93,32.321966,-95.751696,1841,22092,04f9ddc0-d86e-45b2-88f7-12529d6840c9,TRUE,Distributed|Implemented|Vision-oriented|Enterprise-wide,2021-10-02T06:59:14,2021-11-21T13:16:51
58,tortor risus,,30.807137,-102.37047,1445,11560,0c0fe1a2-a780-403c-8527-67514a6a22ea,TRUE,Quality-focused|middleware|Enhanced|dedicated|Business-focused,2021-04-17T16:15:35,2021-10-14T11:58:38
59,ultrices mattis odio donec vitae,43.29,32.265955,-102.638517,805,3220,f0f81d94-3aac-40dd-9088-eafd383d774e,FALSE,emulation,2021-06-10T17:50:28,2021-07-24T16:01:11
60,neque duis bibendum morbi non quam,80.93,29.683813,-101.487072,1081,9729,508a645a-1102-4d95-9b41-cd75756b7e49,FALSE,Business-focused|Visionary|solution|definition,2021-05-14T20:44:46,2021-07-25T07:35:32
61,ultrices phasellus id sapien in sapien iaculis,52.47,33.841681,-99.906659,388,3492,ecd248ae-37be-4ec0-911c-2bb01d48bd78,FALSE,multimedia|paradigm|local|architecture|next generation,2021-08-05T04:51:21,2021-11-25T20:52:48
62,duis mattis,88.2,31.107686,-101.0995,2369,26059,7b66ca71-b51e-4e63-b815-3a5940c5e587,FALSE,framework,2021-06-27T02:13:36,2021-08-19T07:29:37
63,vel pede morbi,97.68,33.773677,-101.040812,94,1128,a789c1a3-e391-4790-a75b-9d00aa01bc6a,TRUE,focus group|leverage|Profit-focused,2021-06-03T12:36:47,2021-10-08T22:37:25
64,diam id ornare imperdiet sapien,12.26,33.323262,-96.323531,2640,26400,1cbb4df2-0db5-431b-bc83-7ef1110eb3b1,TRUE,user-facing|Re-contextualized|coherent|Face to face|task-force,2021-03-24T07:20:08,2021-04-02T10:13:03
65,est donec odio justo,34.52,31.935421,-94.900905,2267,13602,e926764c-472e-4b16-a567-016be8464a74,TRUE,application|help-desk|archive,2021-06-07T23:42:14,2021-07-31T04:24:19
66,mi in porttitor pede justo eu,47.69,31.415303,-98.110935,2514,17598,533690a0-38db-4e24-afd1-e119bde74eb6,TRUE,,2021-02-08T04:39:55,2021-10-10T05:32:03
67,molestie hendrerit at vulputate vitae nisl aenean,30.2,31.685985,-98.445823,2601,20808,64b8ed8c-31af-478c-9ee4-710a25c200a1,TRUE,tangible,2021-08-25T03:20:15Z,
68,ultrices vel augue,,31.960888,-97.736725,2029,22319,ddab839c-3b8d-4a69-8df7-f0d6dbf1c5fb,FALSE,Assimilated|infrastructure|well-modulated,2021-03-02T05:14:51,2021-08-22T08:18:05
69,mauris vulputate elementum,,33.275246,-94.218289,2023,14161,bde9f9f0-6c41-4c9a-9841-123b91b11c86,TRUE,high-level,2021-07-28T08:24:38,2021-12-28T00:59:52
70,fermentum donec ut mauris,,34.127022,-96.991335,1983,13881,edee9ac2-6e4e-4ad0-a01f-313c05b1e45f,TRUE,Programmable|zero administration,2021-01-15T21:40:43,2021-04-29T18:28:28
71,vestibulum sed magna at nunc commodo placerat praesent,39.2,30.55865,-102.843689,2269,11345,fda29b23-adfa-42f0-baf2-cd3d4cf7b8cc,FALSE,,2021-12-13T22:03:57Z,
72,ut nunc vestibulum ante,75.23,31.992597,-103.230695,1436,15796,d97dfae8-16ad-4a48-ae3c-e6ad54c81e30,FALSE,Implemented|Extended|Profound|support,2021-04-28T16:12:08,2021-11-09T15:47:04
73,et ultrices,,29.893252,-98.117096,324,2592,acbe5b68-1c73-41ac-867d-d54fe7c6142b,FALSE,Multi-lateral|projection,2021-05-21T20:25:57,2021-07-27T07:43:28
74,odio justo sollicitudin ut suscipit a feugiat et,45.43,29.264905,-103.009579,1409,7045,8bdf4999-c97d-4301-a1e4-f93cc686cf07,TRUE,discrete,2021-04-03T11:14:30,2021-08-26T09:08:33
75,amet sem fusce consequat nulla nisl nunc nisl,,30.801671,-101.490125,660,7920,1581a6fc-8c09-4030-8abd-b1dbf7b5d4da,FALSE,Re-contextualized|intangible,2021-11-13T16:37:07,2021-12-12T03:49:39
76,etiam vel augue vestibulum rutrum rutrum neque,,33.718871,-104.066065,797,8767,a51071d6-e821-4087-8839-cd34cf73373b,FALSE,optimizing|Balanced,2021-02-27T11:07:12,2021-10-05T05:34:26
77,erat quisque erat eros viverra eget congue eget,90.66,30.20578,-95.436561,965,5790,5d968b66-21e2-4bd3-8a37-23465ad0f23b,FALSE,secured line|contextually-based|uniform,2021-04-08T20:41:00,2021-11-26T14:44:47
78,ultrices aliquet maecenas leo odio condimentum id luctus,18.02,33.051832,-99.881415,2138,25656,1468a19d-9794-4fb4-8100-e67401d2849a,TRUE,Intuitive,2021-08-08T01:06:13Z,
79,nulla neque,76.49,34.372781,-104.699596,2332,6996,506c9432-e25b-46f7-8691-628e68d21934,TRUE,grid-enabled,2021-03-04T09:05:21,2021-09-15T17:32:40
80,tellus nulla,74.05,33.5948,-103.245753,1586,4758,231e52b5-916f-4240-abee-e5c407eb82ad,FALSE,24 hour,2021-04-11T05:33:25,2021-05-09T05:11:05
81,in faucibus,76.1,29.177038,-96.981023,742,5194,1dd8fd70-523c-427e-9534-1f7d4f29a2b2,FALSE,Centralized,2021-03-23T05:19:23,2021-08-06T18:50:59
82,cubilia curae donec,,29.484609,-94.542538,140,1680,b4be88b2-ae15-4fb0-9da3-20dc7753d007,FALSE,Triple-buffered|Customizable,2021-07-27T14:10:13,2021-09-28T22:49:08
83,neque sapien placerat ante nulla justo,35.88,32.142217,-99.676167,146,1460,4d6aa48e-b26f-4d57-a329-0957ba995365,FALSE,Progressive|holistic|Synchronised|impactful|budgetary management,2021-03-11T22:44:36,2021-12-11T19:31:51
84,tortor id nulla ultrices aliquet maecenas leo,89.14,34.975319,-102.875396,1932,9660,01f28e9e-607b-4073-a190-434178a7b3b8,TRUE,Organized|conglomeration|empowering|Function-based,2021-02-28T09:23:54,2021-09-26T16:10:13
85,hac habitasse,54.34,29.334653,-102.527358,2507,7521,19f05bf0-0fe2-4cca-8203-b054cf79e078,FALSE,Networked|emulation|attitude,2021-04-24T18:00:57,2021-10-04T08:53:38
86,ipsum primis in,44.73,34.06445,-97.131121,2342,18736,1a2f0dd4-cabf-4990-a1d1-4e32d3eb5c65,FALSE,User-centric|uniform|grid-enabled|empowering,2021-02-16T19:57:12,2021-04-11T06:23:30
87,tempus semper est quam pharetra magna ac consequat,34.7,31.353906,-103.358478,801,4806,70aeffd8-25ed-4991-b20f-0e16cd67d1a0,TRUE,Reverse-engineered,2021-09-02T10:47:17,2021-12-12T00:34:17
88,ipsum aliquam non,,31.226057,-96.206207,1877,20647,3a1d1637-a5ed-4318-84ca-0cecf5643008,TRUE,Open-source|synergy|encryption|encompassing,2021-01-04T20:27:48,2021-06-17T06:34:36
89,morbi a ipsum integer a nibh,42.56,30.871695,-101.576837,108,324,2d18c8bc-76ab-4310-adc0-13d9cdb87a98,TRUE,Synchronised|Quality-focused|hierarchy|hub|executive,2021-08-28T04:25:38,2021-12-17T15:48:31
90,elementum pellentesque,67.47,34.393959,-98.767611,2645,7935,73780a33-3159-465f-9a75-41eeaade8c4f,FALSE,mission-critical|Synchronised,2021-01-01T21:52:36,2021-04-25T20:08:58
91,et ultrices posuere cubilia curae donec pharetra magna,,32.146141,-101.457886,1522,13698,3c93ce98-e456-47c7-990d-f943d1aea5f0,TRUE,Mandatory|Synergistic|firmware|5th generation|5th generation,2021-09-10T11:46:21,2021-11-07T11:06:01
92,dictumst morbi vestibulum velit id pretium iaculis,,34.22016,-98.775594,1434,17208,cc02565e-d408-4f98-8608-6904906831b1,FALSE,complexity|encoding,2021-04-10T11:46:27Z,
93,ridiculus mus etiam vel augue vestibulum rutrum,,33.788536,-100.766732,1016,11176,e21c04b1-bbf4-4999-8a6b-e174d8bed937,FALSE,human-resource|Diverse|reciprocal|utilisation|Graphical User Interface,2021-01-17T16:26:40,2021-08-21T12:57:59
94,dictumst maecenas ut massa,74.55,30.527408,-94.72623,482,2410,6eb54384-3bec-4048-9e52-c1701ca9fc3e,TRUE,support|Mandatory|Devolved,2021-03-11T05:49:07,2021-09-12T19:10:24
95,venenatis non sodales sed tincidunt eu,,29.606746,-97.462433,1768,5304,5054f4c4-e976-4fe5-bef5-228b58297068,TRUE,next generation|Seamless|Integrated,2021-09-30T00:50:17Z,
96,turpis integer,,34.500093,-99.394152,417,3753,8dcfd413-9d4b-47f4-8033-8a40ab96daaf,TRUE,modular|Organic|structure|demand-driven,2021-01-24T11:57:56,2021-06-27T07:09:50
97,mauris laoreet ut,69.68,29.42534,-96.632069,2699,29689,72eb301f-f7c0-4f7b-bb26-695601496dea,FALSE,,2021-04-17T01:28:23,2021-07-26T01:14:52
98,interdum mauris ullamcorper purus sit,,29.091735,-97.540697,2536,12680,588593ee-3f2d-4117-a9cd-73326fc292c9,TRUE,,2021-06-18T05:25:18,2021-10-18T20:15:23
99,non mi integer ac neque,,30.314186,-104.157317,2655,26550,8fa8df28-3892-4cf8-9062-c2f3a013fb1a,TRUE,grid-enabled|Mandatory|uniform,2021-09-08T23:01:13,2021-09-26T06:42:22
100,penatibus et,25.1,33.681111,-100.495058,473,1892,e977ed97-56c7-4366-9ca5-b4f81ac71147,FALSE,modular|Optional,2021-02-04T07:01:34,2021-05-20T02:52:22
101,tortor quis turpis sed ante,25.95,32.008134,-97.892429,2586,12930,22b3c63e-2373-4088-8d81-8ad73bdb29b8,TRUE,Total|transitional|directional|methodology,2021-05-09T11:01:26,2021-09-29T11:10:24
102,sagittis dui vel nisl duis ac nibh,78.94,29.223347,-104.977043,2659,26590,fe6d7d60-1213-42e9-9128-207f9fc28ca0,TRUE,ability,2021-03-09T16:52:11,2021-07-20T15:38:42
103,at velit eu est congue elementum in hac,,33.454325,-102.748738,745,2235,16c31a23-8b4b-4c9d-a353-840db39b6427,FALSE,maximized|Mandatory,2021-04-14T02:02:40,2021-11-29T02:16:13
104,dapibus nulla,9.26,33.865426,-100.534858,2119,23309,0e86f232-282b-4b95-9a50-7dae56222677,TRUE,Virtual|application,2021-09-12T03:20:41,2021-10-06T18:07:27
105,potenti in eleifend quam a,17.87,34.831623,-98.412134,2156,12936,ef39d5ef-1318-4d3b-ba77-1ab32fcd4064,FALSE,Upgradable|Innovative|incremental,2021-05-15T08:22:03,2021-10-01T08:46:27
106,vestibulum ante ipsum primis in faucibus orci,,32.998231,-99.160709,2276,13656,22ab2b7b-a9f2-4063-b62e-067c0cfa9a70,FALSE,Seamless|hybrid|Function-based,2021-03-25T04:34:03Z,
107,sollicitudin mi sit amet,,31.268271,-99.602135,2123,25476,bafb5285-0c54-40ed-b5b9-db56941fa2f4,FALSE,human-resource|discrete|budgetary management,2021-02-26T21:09:00,2021-02-28T14:25:09
108,quis tortor id nulla ultrices aliquet,58.52,31.342893,-97.345001,1821,18210,ed1f7935-bd57-41f2-82be-86f75969e638,FALSE,logistical|interactive,2021-04-03T11:51:20,2021-09-13T05:55:58
109,ac nulla sed vel enim sit,5.49,30.108933,-94.724469,1493,13437,12b48c11-93f4-46d2-aea9-664e506dd506,TRUE,support,2021-02-20T23:24:55,2021-10-19T23:40:14
110,vehicula condimentum curabitur in libero ut massa,65.54,32.01681,-101.308745,1759,8795,6b43654d-ac8a-4745-b5af-9b8c80cbbd26,FALSE,function|real-time|Enhanced,2021-08-20T09:48:22,2021-12-15T17:21:51
111,consectetuer adipiscing elit proin risus praesent,97.81,31.324989,-95.175504,54,162,cc48946d-5721-4522-a3f0-65afb65df15d,FALSE,website|portal|service-desk,2021-09-09T13:27:57,2021-12-07T13:14:01
112,sapien dignissim,,30.352721,-94.256236,109,981,c5dbdd32-adf2-4092-af61-5a32eaf78400,TRUE,disintermediate|hierarchy|incremental,2021-04-25T00:46:27,2021-06-15T07:32:33
113,varius integer ac leo pellentesque ultrices,,32.314461,-104.858762,461,1844,8ae79369-55dd-4b47-88df-44143bef3b2f,FALSE,help-desk|flexibility,2021-07-18T17:48:24,2021-10-30T21:17:21
114,felis sed lacus,,34.727746,-102.315108,2092,20920,1e031841-6746-453e-83b8-768e29ffb49e,FALSE,process improvement|mobile|Profit-focused|function,2021-02-24T14:36:37,2021-12-15T11:00:49
115,ut erat id mauris vulputate,83.2,30.040197,-102.854196,1910,17190,00c23fcd-671f-44cd-a55d-3efcd74f69eb,FALSE,focus group|incremental,2021-01-28T06:53:10,2021-06-10T11:48:56
116,sodales sed tincidunt eu felis,38.58,33.634301,-104.309976,1526,13734,f50c420c-0b32-441e-abf6-cd1f8ab58aae,FALSE,hybrid,2021-07-26T16:34:44Z,
117,duis bibendum morbi non quam nec dui,56.86,30.256318,-99.859456,1044,8352,1685ed10-d2be-47d5-ba27-2771c8d0a3ce,FALSE,composite|migration,2021-02-09T19:14:28,2021-05-20T03:41:56
118,orci vehicula condimentum curabitur in,41.78,34.86369,-95.451502,2312,6936,8bcdf587-396d-417b-919b-164e07333a43,TRUE,hybrid|moratorium,2021-03-11T10:18:12,2021-07-16T13:41:52
119,erat nulla tempus vivamus in felis eu,62.44,31.630819,-104.267076,2531,20248,b1dd6a59-4f16-4722-9c6f-3af7cd7d2429,FALSE,neural-net|archive|analyzing,2021-01-19T09:35:17,2021-07-23T21:18:36
120,sed nisl nunc rhoncus dui,95.19,34.132701,-96.621416,526,5786,ef427240-543f-4fc2-8b5e-c6bdc77367ae,FALSE,productivity|moderator|project|Profit-focused|system engine,2021-05-01T10:46:44,2021-06-30T07:10:29
121,luctus nec molestie,,34.607097,-100.654433,2437,9748,ed110f22-adb9-4f23-8f81-80504c49b8a9,FALSE,Self-enabling|portal,2021-02-19T04:06:53Z,
122,risus praesent,,34.743506,-100.568392,473,3311,1c91bde6-c3d4-43fe-98d1-13eb301b8fab,FALSE,Multi-lateral|Ameliorated,2021-01-05T07:04:05,2021-09-21T00:24:06
123,morbi vel lectus in quam fringilla rhoncus mauris,29.52,33.597403,-101.5689,189,2079,058c9aa6-28f3-4078-8164-277c23c31453,FALSE,,2021-04-07T07:38:03,2021-07-21T00:14:14
124,ante ipsum,44.98,34.331634,-101.919097,1762,19382,b4d198b4-3557-4534-b193-2c859f7af6a4,FALSE,responsive|eco-centric|4th generation|attitude-oriented,2021-01-16T15:19:53,2021-11-06T07:15:14
125,interdum mauris non,14.55,29.424389,-102.697126,2318,11590,4daef479-d9f3-4d28-bb4f-172793069af9,TRUE,,2021-05-16T09:37:35,2021-06-22T14:38:17
126,morbi porttitor lorem id ligula,40.51,34.9763,-98.937237,2115,21150,2da76d81-384f-4bf0-9ec2-81ad3eff7cb0,FALSE,,2021-04-26T21:50:39,2021-10-31T14:36:36
127,platea dictumst etiam faucibus cursus urna,88.52,30.130255,-101.869523,697,5576,7a19d659-180b-4c37-b212-ea828234ce1b,FALSE,implementation|logistical|Programmable|mobile,2021-06-07T03:05:57,2021-11-25T19:58:01
128,aliquam erat volutpat in congue etiam justo etiam,23.28,34.98205,-99.298543,1956,17604,93869cf3-5c9a-462c-b1cf-50726c5496c3,TRUE,challenge,2021-04-05T09:59:08,2021-08-07T15:16:55
129,aliquam sit,,31.451954,-104.753621,2364,23640,9f81a092-9662-4bee-bf81-511120bfd88e,TRUE,bi-directional|static|help-desk|foreground,2021-07-06T03:32:16Z,
130,elit proin,,31.835919,-97.886099,708,6372,eb237449-ff8f-4d6e-999b-41a1d6a909dc,FALSE,Operative|executive|algorithm,2021-05-14T15:02:21Z,
131,accumsan felis,,29.781677,-96.692966,2075,18675,69c413d0-8c95-4b7a-ba8a-b85bfab1fb4b,TRUE,dedicated|Adaptive|tangible,2021-04-17T10:29:25,2021-09-21T06:26:10
132,nulla suscipit,,30.015087,-94.100741,432,4752,160e96f8-bce0-4f1c-8e1c-732814841f4d,FALSE,array|conglomeration,2021-11-04T19:01:15Z,
133,quam pede lobortis ligula sit amet eleifend,79.69,34.425504,-100.336672,176,1408,88ccc778-d62c-41cb-986e-d30ddec55385,TRUE,array,2021-05-28T02:55:29,2021-09-20T16:40:01
